Organization,Vote 2021-22 / Statutory - Description,2017-18 - Total budgetary authority available for use,2017-18 - Expenditures,2018-19 - Total budgetary authority available for use,2018-19 - Expenditures,2019-20 - Total budgetary authority available for use,2019-20 - Expenditures,2020-21 - Total budgetary authority available for use,2020-21 - Expenditures,2021-22 - Total budgetary authority available for use,2021-22 - Expenditures
Canadian Radio-television and Telecommunications Commission,Budget Implementation Vote - 5,0,0,0,0,2545092,0,0,0,0,0
Canadian Radio-television and Telecommunications Commission,Contributions to employee benefit plans,6234011,6234010.66,6262866,6262866,7293567,7293567,7945025,7945025,7836167,7836167
Canadian Radio-television and Telecommunications Commission,Spending of proceeds from the disposal of surplus Crown assets,207,207.4,308,308,12876,9366,3510,0,0,0
Canadian Space Agency,Operating/Program - 1,181863016,175307040,179629969,173689311,189687001,178869332,204688180,191468491,240107349,225675396
Canadian Space Agency,Capital - 5,168665788,107718231,175515859,66099926,182467624,75927158,155522085,47804489,153480882,44745858
Canadian Space Agency,Grants & Contributions - 10,60966000,60947950,56411000,56376491,59626000,59582624,80294000,80239450,86889050,86833743
Canadian Space Agency,Contributions to employee benefit plans,9478989,9478989.19,9546767,9546767,10044578,10044578,10897223,10897223,10851896,10851896
Canadian Space Agency,Spending of proceeds from the disposal of surplus Crown assets,32776,5776.63,34844,33105,12935,12399,50063,0,64763,1256
Canadian Space Agency,Spending of revenues obtained pursuant to sub-section 5 (3) (h) of the Canadian Space Agency Act,0,0,0,0,0,0,0,0,156566,0
Correctional Service Canada,Operating/Program - 1,2285035457,2239588609,2176638822,2138894500,2314024059,2259654306,2750491717,2563319518,2759698376,2522384399
Correctional Service Canada,Capital - 5,247856918,185624348,235660884,227792982,187722156,164642887,200234151,121987099,234453979,146976291
Correctional Service Canada,Budget Implementation Vote - 10,0,0,0,0,16235190,0,0,0,0,0
Correctional Service Canada,Other - 10,0,0,0,0,0,0,1,0,0,0
Correctional Service Canada,CORCAN Revolving Fund,8072277,-3536196.84,11608474,7728806,3879668,10000354,8879314,-3087183,11966497,-1258221
Correctional Service Canada,Contributions to employee benefit plans,204932233,204932233.17,213653653,213653653,217578864,217578864,247789859,247789859,241600477,241600477
Correctional Service Canada,Refunds of amounts credited to revenues in previous years,25174,25174.1,563,563,10,10,10515,10515,847,847
Correctional Service Canada,Spending of proceeds from the disposal of surplus Crown assets,1945757,1477812.98,2096939,1249561,1950800,945014,1401338,1196278,1308896,219460
Communications Security Establishment Canada,Operating/Program - 1,616882818,589836561,675780553,643204964,728880193,720077864,748056291,733787856,810226899,747691004
Communications Security Establishment Canada,Budget Implementation Vote - 5,0,0,0,0,9095310,0,0,0,0,0
Communications Security Establishment Canada,Budget Implementation Vote - 10,0,0,0,0,228531,0,0,0,0,0
Communications Security Establishment Canada,Budget Implementation Vote - 15,0,0,0,0,193216,0,0,0,0,0
Communications Security Establishment Canada,Budget Implementation Vote - 20,0,0,0,0,773808,0,0,0,0,0
Communications Security Establishment Canada,Contributions to employee benefit plans,32636921,32636920.51,38430250,38430250,40999270,40999270,45885813,45885813,53292334,53292334
Communications Security Establishment Canada,Losses on Foreign Exchange,0,0,0,0,0,0,4946,4946,6953,6953
Communications Security Establishment Canada,Refunds of amounts credited to revenues in previous years,0,0,0,0,0,0,365,365,415,415
Communications Security Establishment Canada,Spending of proceeds from the disposal of surplus Crown assets,21485,0,38109,20620,24052,17489,16863,6563,75725,0
Canadian Security Intelligence Service,Operating/Program - 1,567202890,541703799,559804285,538920546,578779590,564088047,664514653,627092654,628726594,593505144.34
Canadian Security Intelligence Service,Budget Implementation Vote - 5,0,0,0,0,162177,0,0,0,0,0
Canadian Security Intelligence Service,Budget Implementation Vote - 10,0,0,0,0,51030,0,0,0,0,0
Canadian Security Intelligence Service,Budget Implementation Vote - 15,0,0,0,0,1762870,0,0,0,0,0
Canadian Security Intelligence Service,Budget Implementation Vote - 20,0,0,0,0,491445,0,0,0,0,0
Canadian Security Intelligence Service,Budget Implementation Vote - 25,0,0,0,0,1160244,0,0,0,0,0
Canadian Security Intelligence Service,Contributions to employee benefit plans,44851372,44851372.17,47297464,47297464,46616021,46616021,49051187,49051187,48667683,48667683
Canadian Security Intelligence Service,Spending of proceeds from the disposal of surplus Crown assets,864131,443783.39,828962,389945,955748,381025,1021415,755860,646105,0
Canadian Transportation Agency,Operating/Program - 1,30548408,25987911,33908170,29685207,36433079,31492646,41429446,36759151,41320362,38453775
Canadian Transportation Agency,Contributions to employee benefit plans,3159906,3159905.78,3458817,3458817,3784368,3784368,4629858,4629858,4434112,4434112
Canadian Transportation Agency,Spending of proceeds from the disposal of surplus Crown assets,0,0,166,166,772,772,8220,8220,0,0
Transportation Safety Board of Canada,Operating/Program - 1,30269255,28834111,30054710,28746407,32573046,31937754,33429421,32362365,33453338,32156495
Transportation Safety Board of Canada,Contributions to employee benefit plans,3444743,3444742.85,3328645,3328645,3696718,3696718,3947463,3947463,3740537,3740537
Transportation Safety Board of Canada,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,119911,119911.44,23773,23773,27862,27862,13212,13212,16020,16020
Transportation Safety Board of Canada,Spending of proceeds from the disposal of surplus Crown assets,32597,10520,60228,22077,88873,38152,74430,50722,28171,23865
Global Affairs Canada,Operating/Program - 1,1787682635,1660201820,1899480046,1820952057,2000308597,1883363260,1982539960,1803126252,2056429288,1867856410
Global Affairs Canada,Capital - 5,195149445,139961958,171605134,132196816,130319951,108543093,185777363,105479609,149848593,113303487
Global Affairs Canada,Grants & Contributions - 10,4596025963,4306311566,4864121914,4581142014,4970141490,4674051462,6810942883,6760167451,5796044808,5590387304
Global Affairs Canada,Operating/Program - 15,66273000,65625437,69540997,69540997,68874000,68493656,72371264,70997725,85473000,80197216
Global Affairs Canada,Other - 20,2,0,2,0,2,0,2,0,1,0
Global Affairs Canada,Budget Implementation Vote - 25,0,0,0,0,11446936,0,0,0,0,0
Global Affairs Canada,Budget Implementation Vote - 30,0,0,0,0,443260,0,0,0,0,0
Global Affairs Canada,Budget Implementation Vote - 35,0,0,0,0,104280,0,0,0,0,0
Global Affairs Canada,Budget Implementation Vote - 40,0,0,0,0,2021487,0,0,0,0,0
Global Affairs Canada,Budget Implementation Vote - 45,0,0,0,0,6133109,0,0,0,0,0
Global Affairs Canada,Contributions to employee benefit plans,103723515,103723515.39,112845202,112845202,115878927,115878927,128074453,128074453,125639709,125639709
Global Affairs Canada,Losses on Foreign Exchange,40839255,40839254.78,47814542,47814542,73415744,73415744,157727666,157727666,37427533,37427533
Global Affairs Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,54862817,54862817,0,0
Global Affairs Canada,Payments to International Financial Institutions - Direct payments,232251950,232251949.78,250380451,250380451,250365984,250365984,260230820,260230820,257017743,257017743
Global Affairs Canada,Payments under the Diplomatic Service (Special) Superannuation Act,443832,443832.49,472969,472969,829215,829215,772101,772101,795791,795791
Global Affairs Canada,"Pursuant to section 24.1 of the Financial Administration Act, to forgive an amount up to $449,533,044 owed by the Government of the Islamic Republic of Pakistan, in relation to loan agreements, subject to the conditions described in the Memorandum of Understanding signed on April 20, 2006 between the Government of Canada and the Government of the Islamic Republic of Pakistan",84693673,24584114.59,60109558,37922028,22187530,0,22187530,0,22187530,0
Global Affairs Canada,Refunds of amounts credited to revenues in previous years,90366,90365.7,2224,2224,4657,4657,562,562,14062,14062
Global Affairs Canada,Salary and Motor Car Allowance,253200,253200,258000,258000,201736,201736,267440,267440,270637,270637
Global Affairs Canada,Spending of proceeds from the disposal of surplus Crown assets,3521831,0,3568049,3348002,1825541,1755463,1456840,0,3008607,1300869
Environment and Climate Change Canada,Operating/Program - 1,837506257,815673987,837419975,819039469,896856534,870607881,928440461,913485581,1011252815,940437924
Environment and Climate Change Canada,Capital - 5,84574595,64208758,92041019,81320972,109541298,95510341,104909261,75643015,128426620,93639294
Environment and Climate Change Canada,Grants & Contributions - 10,309276888,200135164,640599746,402863651,791612951,481634380,878014205,548478199,785574841,577281682
Environment and Climate Change Canada,Budget Implementation Vote - 15,0,0,0,0,467882,0,0,0,0,0
Environment and Climate Change Canada,Budget Implementation Vote - 20,0,0,0,0,198215,0,0,0,0,0
Environment and Climate Change Canada,Budget Implementation Vote - 25,0,0,0,0,508309,0,0,0,0,0
Environment and Climate Change Canada,Budget Implementation Vote - 30,0,0,0,0,0,0,0,0,0,0
Environment and Climate Change Canada,Climate Action Support Payments (Climate Action Incentive Fund),0,0,0,0,0,0,95181916,95181916,0,0
Environment and Climate Change Canada,Collection Agency Fees,0,0,0,0,0,0,0,0,141,141
Environment and Climate Change Canada,Contributions to employee benefit plans,84276955,84276954.96,88915538,88915538,96239783,96239783,102530290,102530290,101160342,101160342
Environment and Climate Change Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,11262252,11262252,0,0
Environment and Climate Change Canada,Salary and Motor Car Allowance,84600,84600,86000,86000,87500,87500,89200,89200,90700,90700
Environment and Climate Change Canada,Spending of proceeds from the disposal of surplus Crown assets,1223505,427402.75,1898558,1129062,1874175,1584736,730092,116135,1412803,278582
Export Development Canada,Administrative fees,5588461,5588461.31,7409042,7409042,8589503,8589503,149546653,149546653,238560520,238560520
Export Development Canada,Losses on Foreign Exchange,45610229,45610228.99,0,0,0,0,103471372,103471372,1510441,1510441
Export Development Canada,Payments of concessional loans to facilitate and develop trade between Canada and foreign countries,0,0,1627722,1627722,0,0,0,0,1015572320,1015572320
RCMP External Review Committee,Operating/Program - 1,1722980,1443436,3195355,2117840,3918215,2882311,4863015,2890822,5805010,3493016
RCMP External Review Committee,Contributions to employee benefit plans,132988,132987.62,193367,193367,250590,250590,294694,294694,381688,381688
Federal Bridge Corporation,Payments to Crown Corps - 1,23583887,20047538,3472857,3463982,0,0,8292020,4581003,18497000,9123879
Federal Bridge Corporation,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,1480387,1480387,0,0
Financial Consumer Agency of Canada,Payments under section 13 of the Financial Consumer Agency of Canada Act,21517840,21517840.25,25543637,25543637,30330955,30330955,35035905,35035905,38654643,38654643
Financial Consumer Agency of Canada,Spending of proceeds from the disposal of surplus Crown assets,0,0,892,892,236,236,92,92,3694,3694
Federal Economic Development Agency for Northern Ontario,Operating/Program - 1,0,0,0,0,0,0,0,0,9174081,8071688
Federal Economic Development Agency for Northern Ontario,Capital - 5,0,0,0,0,0,0,0,0,91327751,80300881
Federal Economic Development Agency for Northern Ontario,Contributions to employee benefit plans,0,0,0,0,0,0,0,0,848382,848382
Federal Economic Development Agency for Southern Ontario,Operating/Program - 1,27610896,27091325,27666312,26594603,31311730,31073767,37401325,33652330,40594035,38868660
Federal Economic Development Agency for Southern Ontario,Grants & Contributions - 5,242198502,220105694,212008650,207203869,232999790,232999790,417473725,417473725,381961979,356644871
Federal Economic Development Agency for Southern Ontario,Budget Implementation Vote - 10,0,0,0,0,53590,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Contributions to employee benefit plans,3054111,3054110.49,2907326,2907326,3430851,3430851,4100587,4100587,4601083,4601083
Federal Economic Development Agency for Southern Ontario,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,237519853,237519853,0,0
Federal Economic Development Agency for Southern Ontario,Salary and Motor Car Allowance,0,0,0,0,0,0,0,0,866,866
Federal Economic Development Agency for Southern Ontario,Spending of proceeds from the disposal of surplus Crown assets,577,0,20655,0,33392,0,33827,0,51426,0
Department of Finance Canada,Operating/Program - 1,134956573,130934636,111962937,108971553,109577155,107152924,3441598415,3304039520,144830596,128778407
Department of Finance Canada,Other - 5,1,0,2,0,1,0,1,0,1,0
Department of Finance Canada,Budget Implementation Vote - 10,0,0,0,0,444400,0,0,0,0,0
Department of Finance Canada,Budget Implementation Vote - 15,0,0,0,0,150000,0,0,0,0,0
Department of Finance Canada,Budget Implementation Vote - 20,0,0,0,0,164730,0,0,0,0,0
Department of Finance Canada,Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act),19957000,19957000,18092000,18092000,8227000,8227000,0,0,130063000,130063000
Department of Finance Canada,Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act),16407000,16407000,0,0,-96002000,-96002000,0,0,0,0
Department of Finance Canada,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-3882984000,-3882984000,-4132159000,-4132159000,-4767184000,-4767184000,-4569544000,-4569544000,-5132774000,-5132774000
Department of Finance Canada,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),37123933953,37123933953,38567524392,38567524392,40371762839,40371762839,41880173684,41880173684,43132954822,43132954822
Department of Finance Canada,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),13748395000,13748395000,14160847000,14160847000,14585672000,14585672000,15023242000,15023242000,15473939000,15473939000
Department of Finance Canada,"Canadian Regulatory Authority (Budget Implementation Act, 2009)",0,0,11400000,11400000,0,0,40330925,40330925,0,0
Department of Finance Canada,Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act),0,0,77100000,77100000,0,0,0,0,0,0
Department of Finance Canada,Contributions to employee benefit plans,10846345,10846344.4,11556977,11556977,12795302,12795302,13841721,13841721,13310274,13310274
Department of Finance Canada,Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act,51200000,51200000,51200000,51200000,48080000,48080000,37894693,37894693,53132349,53132349
Department of Finance Canada,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),18253657000,18253657000,18958259000,18958259000,19837259000,19837259000,20572844000,20572844000,20910789000,20910789000
Department of Finance Canada,Fiscal Stabilization (Part II — Federal-Provincial Fiscal Arrangements Act),0,0,-3066900,-3066900,271733098,271733098,0,0,0,0
Department of Finance Canada,Funding for Home Care Services and Mental Health Services,300000000,300000000,0,0,0,0,0,0,0,0
Department of Finance Canada,Hibernia Dividend Backed Annuity Agreement,0,0,0,0,0,0,0,0,100555856,100555856
Department of Finance Canada,Interest on Unmatured Debt,14228824027,14228824026.09,15937172746,15937172746,17836992523,17836992523,15095811768,15095811768,17865672922,17865672922
Department of Finance Canada,Losses on Foreign Exchange,297323632,297323632.32,21331638,21331638,30234031,30234031,473305040,473305040,73855365,73855365
Department of Finance Canada,Other Interest Costs,6609473704,6609473703.96,6306704163,6306704163,5951868513,5951868513,5329760904,5329760904,5122310988,5122310988
Department of Finance Canada,Payment of liabilities previously recorded as revenue,3927481,3927481.1,3800841,3800841,5133457,5133457,16686279,16686279,10366758,10366758
Department of Finance Canada,Payment pursuant to section 24(1) of the Financial Administration Act,0,0,0,0,3066900,3066900,0,0,0,0
Department of Finance Canada,Payment to the Canada Infrastructure Bank,11366000,11366000,552861638,552861638,759153755,759153755,52946747,52946747,210950457,210950457
Department of Finance Canada,Payment to the International Monetary Fund for the Poverty Reduction and Growth Trust (Bretton Woods and Related Agreements Act),0,0,0,0,0,0,0,0,50000000,50000000
Department of Finance Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,10000000,10000000,0,0
Department of Finance Canada,Payments related to Canada health transfer,0,0,0,0,500000000,500000000,0,0,4000000000,4000000000
Department of Finance Canada,Payments to International Development Association,441610000,441610000,441610000,441610000,441620000,441620000,423240000,423240000,423240000,423240000
Department of Finance Canada,"Payments to depositors of Canadian Commercial Bank, CCB Mortgage Investment Corporation and Northland Bank pursuant to the Financial Institutions Depositors Compensation Act",68571831,0,68571831,0,68571831,0,68571831,0,68571831,0
Department of Finance Canada,"Payments to the provinces and territories in respect of Canada's COVID-19 immunization plan (Subsection 198(2) - Budget Implementation Act, 2021, No. 1)",0,0,0,0,0,0,0,0,1000000000,1000000000
Department of Finance Canada,Purchase of Domestic Coinage,94082968,94082968.18,90737773,90737773,86362679,86362679,85749130,85749130,84598337,84598337
Department of Finance Canada,Refund of prior year expenditures,0,0,0,0,-103000000,-103000000,0,0,0,0
Department of Finance Canada,Salary and Motor Car Allowance,84600,84600,86000,86000,88228,88228,35810,35810,91867,91867
Department of Finance Canada,Significant and Systematic Economic and Financial Distress,0,0,0,0,0,0,16655725989,16655725989,0,0
Department of Finance Canada,Spending of proceeds from the disposal of surplus Crown assets,15212,0,1002,0,673,0,116,0,18830,0
Department of Finance Canada,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",42355897,42355897.44,42483704,42483704,42643709,42643709,42639121,42639121,42639342,42639342
Department of Finance Canada,Statutory payments to the Canadian Commercial Corporation,0,0,0,0,4500000,4500000,4000000,4000000,13000000,13000000
Department of Finance Canada,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),3681830727,3681830727,3785321565,3785321565,3948402899,3948402899,4180225221,4180225221,4379878578,4379878578
Department of Finance Canada,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-856507839,-856507839,-914124930,-914124930,-1043882172,-1043882172,-1012720677,-1012720677,-1699300953,-1699300953
Office of the Commissioner for Federal Judicial Affairs Canada,Operating/Program - 1,9798887,8814268,9739992,8738067,10716917,9989567,11018853,10122935,11851216,10499476
Office of the Commissioner for Federal Judicial Affairs Canada,Operating/Program - 5,4354115,3165256,4304302,2917878,4092490,2550717,4351362,2563557,4221431,2820453
Office of the Commissioner for Federal Judicial Affairs Canada,Budget Implementation Vote - 10,0,0,0,0,1168987,0,0,0,0,0
Office of the Commissioner for Federal Judicial Affairs Canada,Budget Implementation Vote - 15,0,0,0,0,24684,0,0,0,0,0
Office of the Commissioner for Federal Judicial Affairs Canada,Contributions to employee benefit plans,833111,833110.69,869421,869421,821434,821434,956416,956416,965077,965077
Office of the Commissioner for Federal Judicial Affairs Canada,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",555637296,555637296.4,582951203,582951203,614696266,614696266,613473724,613473724,656497928,656497928
Fisheries and Oceans Canada,Operating/Program - 1,1596275770,1575248652,1700860934,1662973882,2028134795,1999340165,2014535674,1960997640,2165753946,2059763936
Fisheries and Oceans Canada,Capital - 5,972766433,783924389,1641325364,1280686640,1141335777,701602927,1129771196,773359286,1467223481,835175814
Fisheries and Oceans Canada,Grants & Contributions - 10,159739308,128862428,272932472,185375377,374869376,279057315,1004791184,291858397,1280768687,681289122
Fisheries and Oceans Canada,Debt Forgiveness - 15,0,0,0,0,0,0,3027875,3027874,0,0
Fisheries and Oceans Canada,Budget Implementation Vote - 15,0,0,0,0,1570572,0,0,0,0,0
Fisheries and Oceans Canada,Budget Implementation Vote - 20,0,0,0,0,796299,0,0,0,0,0
Fisheries and Oceans Canada,Contributions to employee benefit plans,128337289,128337289.61,143589575,143589575,151731247,151731247,173592986,173592986,179026403,179026403
Fisheries and Oceans Canada,Losses on Foreign Exchange,0,0,2058925,2058925,82463,82463,0,0,0,0
Fisheries and Oceans Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,140906182,140906182,0,0
Fisheries and Oceans Canada,Refunds of amounts credited to revenues in previous years,1340,1340,17559,17559,2349,2349,134,134,2384500,2384500
Fisheries and Oceans Canada,Salary and Motor Car Allowance,84600,84600,86000,86000,87500,87500,89200,89200,80370,80370
Fisheries and Oceans Canada,Spending of proceeds from the disposal of surplus Crown assets,7118562,4005669.84,12226741,8123112,7030030,4166518,4361030,3155682,3465949,1147376
Canada Economic Development for Quebec Regions,Operating/Program - 1,41462811,40309823,40537690,39007280,42572174,41494315,44039502,43583309,48645768,47490086
Canada Economic Development for Quebec Regions,Grants & Contributions - 5,268614505,266825784,251866463,249854840,284837735,278837615,474919288,411427225,495478711,391136515
Canada Economic Development for Quebec Regions,Budget Implementation Vote - 10,0,0,0,0,38630,0,0,0,0,0
Canada Economic Development for Quebec Regions,Contributions to employee benefit plans,4280276,4280275.49,4274724,4274724,4290796,4290796,4979954,4979954,5211129,5211129
Canada Economic Development for Quebec Regions,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,90380296,90380296,0,0
Canada Economic Development for Quebec Regions,Spending of proceeds from the disposal of surplus Crown assets,12952,12859,248,0,5270,0,5374,5115,5013,0
Financial Transactions and Reports Analysis Centre of Canada,Operating/Program - 1,51484046,50174856,49663040,46465334,54916462,50468277,74404303,55832070,83548128,70289694
Financial Transactions and Reports Analysis Centre of Canada,Budget Implementation Vote - 5,0,0,0,0,465320,0,0,0,0,0
Financial Transactions and Reports Analysis Centre of Canada,Contributions to employee benefit plans,5072934,5072933.7,4925954,4925954,4814489,4814489,5878884,5878884,6738581,6738581
Financial Transactions and Reports Analysis Centre of Canada,Spending of proceeds from the disposal of surplus Crown assets,197,0,368,0,242,0,25,0,0,0
Office of the Secretary to the Governor General,Operating/Program - 1,20895046,20489098,20954024,20277093,20957658,20134983,21926096,21298630,21390564,20578952
Office of the Secretary to the Governor General,Annuities payable under the Governor General's Act,647449,647448.72,731662,731662,747418,747418,789703,789703,924909,924909
Office of the Secretary to the Governor General,Contributions to employee benefit plans,2021739,2021739.11,1872747,1872747,1979693,1979693,2336827,2336827,2122183,2122183
Office of the Secretary to the Governor General,Salary of the Governor General,293119,293118.75,295600,295600,306067,306067,252015,252015,227785,227785
Office of the Secretary to the Governor General,Spending of proceeds from the disposal of surplus Crown assets,5157,5157.21,0,0,12843,12843,0,0,35605,0
Public Services and Procurement Canada,Operating/Program - 1,2382567749,2231626713,2677702916,2539734203,2826113338,2589977548,3759079753,2857756117,3575473004,2828024438
Public Services and Procurement Canada,Capital - 5,1552612676,1297049674,1300638311,1220797156,1401557485,1086103659,1584605345,1150463966,1633060187,1198251199
Public Services and Procurement Canada,Budget Implementation Vote - 10,0,0,0,0,852323,0,0,0,0,0
Public Services and Procurement Canada,Other - 10,0,0,0,0,0,0,0,0,1,0
Public Services and Procurement Canada,Budget Implementation Vote - 15,0,0,0,0,71193744,0,0,0,0,0
Public Services and Procurement Canada,Budget Implementation Vote - 20,0,0,0,0,0,0,0,0,0,0
Public Services and Procurement Canada,Budget Implementation Vote - 25,0,0,0,0,390786,0,0,0,0,0
Public Services and Procurement Canada,Budget Implementation Vote - 30,0,0,0,0,588006,0,0,0,0,0
Public Services and Procurement Canada,Budget Implementation Vote - 35,0,0,0,0,102359779,0,0,0,0,0
Public Services and Procurement Canada,Budget Implementation Vote - 40,0,0,0,0,0,0,0,0,0,0
Public Services and Procurement Canada,Collection Agency Fees,0,0,0,0,49,49,0,0,19,19
Public Services and Procurement Canada,Contributions to employee benefit plans,113101697,113101696.64,125119236,125119236,139398533,139398533,164137954,164137954,156928543,156928543
Public Services and Procurement Canada,Defence Production Revolving Fund,100000000,0,100000000,0,100000000,0,100000000,0,100000000,0
Public Services and Procurement Canada,Losses on Foreign Exchange,0,0,0,0,0,0,0,0,73,73
Public Services and Procurement Canada,Optional Services Revolving Fund,36688658,1498439.56,35190218,2118475,33071743,-4098898,37170641,18636678,18533963,2109984
Public Services and Procurement Canada,Payment in lieu of taxes to municipalities and other taxing authorities,6789983,6789983,-3227257,-3227257,324530,324530,35614948,35614948,2388032,2388032
Public Services and Procurement Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,220005388,220005388,0,0
Public Services and Procurement Canada,Real Property Services Revolving Fund,224051427,7375084.88,216676342,2173315,214503027,5866619,208636408,-16236119,224872527,-26816398
Public Services and Procurement Canada,Refunds of amounts credited to revenues in previous years,216745,216744.87,0,0,0,0,0,0,0,0
Public Services and Procurement Canada,Salary and Motor Car Allowance,84234,84234.15,86000,86000,87500,87500,89200,89200,90700,90700
Public Services and Procurement Canada,Spending of proceeds from the disposal of surplus Crown assets,508231,173971.17,383418,194337,644370,242190,685705,294067,578119,240504
Public Services and Procurement Canada,Translation Bureau Revolving Fund,52351012,2991783.06,49359229,-7918831,57278060,10785646,46492414,16108748,40383666,11135137
Health Canada,Operating/Program - 1,1676824185,1573216945,809509654,773082083,943650600,920053183,1316670992,911711901,4943034037,1748040957
Health Canada,Capital - 5,42011767,31395566,29144205,26802917,23198674,21532491,21307370,18964138,21084418,16665249
Health Canada,Grants & Contributions - 10,1789471481,1669373765,1395307328,1378408712,1558227090,1547551142,2101444801,1890155714,3455289608,3250849610
Health Canada,Budget Implementation Vote - 15,0,0,0,0,5264266,0,0,0,0,0
Health Canada,Budget Implementation Vote - 20,0,0,0,0,3192134,0,0,0,0,0
Health Canada,Budget Implementation Vote - 25,0,0,0,0,5000000,0,0,0,0,0
Health Canada,Budget Implementation Vote - 30,0,0,0,0,0,0,0,0,0,0
Health Canada,Budget Implementation Vote - 35,0,0,0,0,160287,0,0,0,0,0
Health Canada,Budget Implementation Vote - 40,0,0,0,0,0,0,0,0,0,0
Health Canada,Budget Implementation Vote - 45,0,0,0,0,11200000,0,0,0,0,0
Health Canada,Budget Implementation Vote - 50,0,0,0,0,500000,0,0,0,0,0
Health Canada,Canada Health Infoway Inc.,25847647,25847647,14260425,14260425,10130622,10130622,0,0,0,0
Health Canada,Collection Agency Fees,748,747.71,2892,2892,45222,45222,15128,15128,6923,6923
Health Canada,Contributions to employee benefit plans,108646504,108646503.98,98616521,98616521,110307779,110307779,121770044,121770044,128043607,128043607
Health Canada,Payment pursuant to section 24(1) of the Financial Administration Act,0,0,552691,552691,69000,69000,46000,46000,0,0
Health Canada,Payments for expenses in relation to COVID-19 tests,0,0,0,0,0,0,0,0,710876835,710876835
Health Canada,"Payments for investments in long-term care pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Health Canada,"Payments for medical research, countermeasures, vaccine funding and development, border and travel measures and isolation sites pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Health Canada,"Payments for mental health and substance use in the context of COVID-19 pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Health Canada,"Payments for supporting innovative approaches to COVID-19 testing pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Health Canada,"Payments for virtual care and mental health tools for Canadians pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Health Canada,Payments in Connection with the Patent Act (Patented Medicines),30000000,30000000,20000000,20000000,0,0,0,0,0,0
Health Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,50574675,50574675,0,0
Health Canada,Refunds of amounts credited to revenues in previous years,171575,171575.27,2793,2793,58728,58728,0,0,265000,265000
Health Canada,Salary and Motor Car Allowance,85510,85509.68,86000,86000,87743,87743,89200,89200,128492,128492
Health Canada,Spending of proceeds from the disposal of surplus Crown assets,303294,43095.82,510574,479719,154019,30855,205647,123163,297706,88808
Health Canada,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",52271356,52271356.25,57454499,57454499,65522304,65522304,123202980,123202980,189819220,189819220
House of Commons,Operating/Program - 1,350717392,328003649,362910910,343936263,367162700,355839069,381815056,350016757,401223604,363734409
House of Commons,Contributions to employee benefit plans,35218892,35218891.59,39105949,39105949,39654458,39654458,40465143,40465143,40719541,40719541
House of Commons,Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account,127160169,127160169.55,104370806,104370806,110255476,110255476,219628461,219628461,105640979,105640979
Employment and Social Development Canada,Operating/Program - 1,788261723,767753791,791336685,768340898,951275788,908775572,972687959,919087621,1357634135,1232609394
Employment and Social Development Canada,Grants & Contributions - 5,2474223696,2395965056,2606473881,2432185941,3045652233,2980269273,3277783411,3037668779,6273677695,4793596083
Employment and Social Development Canada,Debt Forgiveness - 7,203470823,200039294,0,0,0,0,0,0,0,0
